date,ppr,ppr0m_1m
2010-06-07,3038.6,4528
2010-06-14,2212,2212
2010-06-28,3364.25,3013.5
2010-07-12,2863.75,2166.5
2010-07-19,2725.5,2725.5
2010-07-26,2982.5,2982.5
2010-08-02,1223.1666666666667,2396
2010-08-09,1073.9166666666667,2098
2010-08-16,1305,2578
2010-08-25,697.9375,1602.5
2011-06-13,1720.5,1434
2011-06-28,1235.5833333333333,2146.5
2011-07-25,2231,1776
2011-08-08,3064,3064
2011-08-22,1162.5,1470.5
2012-06-04,677.4285714285714,1505.5
2012-06-18,1584.5,1584.5
2012-07-02,1831.375,2314
2012-07-16,2308,2308
2012-07-30,976.4166666666666,1914.5
2012-08-13,595.5,1772
2014-06-30,665.25,823
2014-07-15,1032.3,1636.5
2014-07-28,395.77777777777777,1117.5
2014-08-11,629.9285714285714,1382.5
2014-08-25,1493,1493
